ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
600900.SH,20260831,20260831,20260630,1,14755694774.53
600900.SH,20260430,20260430,20260331,1,6761006898.48
600900.SH,20260430,20260430,20260331,1,6761006898.48
600900.SH,20260430,20260430,20251231,1,34502809176.39
600900.SH,20251031,20251031,20250930,1,28192874494.95
600900.SH,20250830,20250830,20250630,1,13056352473.55
600900.SH,20250430,20250430,20250331,1,5180785597.87
600900.SH,20250430,20250430,20241231,1,32496172808.65
600900.SH,20241031,20241031,20240930,1,28024923212.82
600900.SH,20240831,20240831,20240630,1,11362325217.75
600900.SH,20240430,20240430,20240331,1,3966850824.31
600900.SH,20240430,20240430,20231231,1,27238970860.7
