ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
300474.SZ,20260424,20260424,20260331,1,-56087304.04
300474.SZ,20260424,20260424,20251231,1,-164622652.17
300474.SZ,20260424,20260424,20251231,1,-164622652.17
300474.SZ,20251029,20251029,20250930,1,-72533449.76
300474.SZ,20251029,20251029,20250930,1,-72533449.76
300474.SZ,20250819,20250819,20250630,1,-87610121.73
300474.SZ,20250424,20250424,20250331,1,-54850234.44
300474.SZ,20250424,20250424,20250331,1,-54850234.44
300474.SZ,20250424,20250424,20241231,1,-165119475.55
300474.SZ,20241026,20241026,20240930,1,23874312.38
300474.SZ,20240829,20240829,20240630,1,34154320.22
300474.SZ,20240425,20240425,20240331,1,-11535163.86
300474.SZ,20240425,20240425,20231231,1,59681142.77
