ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
301308.SZ,20260428,20260428,20260331,1,3862236561.17
301308.SZ,20260428,20260428,20251231,1,1423298162.88
301308.SZ,20251030,20251030,20250930,1,712633054.11
301308.SZ,20250823,20250823,20250630,1,14766262.08
301308.SZ,20250428,20250428,20250331,1,-151814511.52
301308.SZ,20250321,20250321,20241231,1,498684535.69
301308.SZ,20241029,20241029,20240930,1,556944110.39
301308.SZ,20240827,20240827,20240630,1,593782063.79
301308.SZ,20240422,20240422,20240331,1,384102977.78
301308.SZ,20240422,20240422,20231231,1,-827809358.07
