ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
601211.SH,20260819,20260819,20260630,1,20259526242.0
601211.SH,20260425,20260425,20260331,1,6388465090.0
601211.SH,20260425,20260425,20260331,1,6388465090.0
601211.SH,20260328,20260328,20251231,1,27809205680.0
601211.SH,20251031,20251031,20250930,1,22074231040.0
601211.SH,20250830,20250830,20250630,1,15737205986.0
601211.SH,20250430,20250430,20250331,1,12242053407.0
601211.SH,20250430,20250430,20250331,1,12242053407.0
601211.SH,20250329,20250329,20241231,1,13024084673.0
601211.SH,20241031,20241031,20240930,1,9523020776.0
601211.SH,20240830,20240830,20240630,1,5016017486.0
601211.SH,20240430,20240430,20240331,1,2489358737.0
601211.SH,20240329,20240329,20231231,1,9374143632.0
