ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
600941.SH,20260421,20260421,20260331,1,29342000000.0
600941.SH,20260327,20260327,20251231,1,137095000000.0
600941.SH,20260327,20260327,20251231,1,137095000000.0
600941.SH,20251021,20251021,20250930,1,115353000000.0
600941.SH,20250808,20250808,20250630,1,84235000000.0
600941.SH,20250423,20250423,20250331,1,30631000000.0
600941.SH,20250321,20250321,20241231,1,138373000000.0
600941.SH,20241022,20241022,20240930,1,110881000000.0
600941.SH,20240809,20240809,20240630,1,80201000000.0
600941.SH,20240423,20240423,20240331,1,29609000000.0
600941.SH,20240322,20240322,20231231,1,131766000000.0
