ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
688981.SH,20260515,20260515,20260331,1,1361209000.0
688981.SH,20260327,20260327,20251231,1,5040734000.0
688981.SH,20260327,20260327,20251231,1,5040734000.0
688981.SH,20251114,20251114,20250930,1,3818071000.0
688981.SH,20250808,20250808,20250630,1,2294488789.2
688981.SH,20250829,20250829,20250630,1,2300866000.0
688981.SH,20250829,20250829,20250630,1,2300866000.0
688981.SH,20250509,20250509,20250331,1,1356374000.0
688981.SH,20250212,20250212,20241231,1,3479570390.8
688981.SH,20250212,20250212,20241231,1,3698665000.0
688981.SH,20250328,20250328,20241231,1,3698665000.0
688981.SH,20241108,20241108,20240930,1,2706192000.0
688981.SH,20240830,20240830,20240630,1,1646285000.0
688981.SH,20240510,20240510,20240331,1,508959000.0
688981.SH,20240329,20240329,20231231,1,4822814000.0
