ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
600050.SH,20260422,20260422,20260331,1,2136922138.0
600050.SH,20260320,20260320,20251231,1,9126662570.0
600050.SH,20251023,20251023,20250930,1,8771887626.0
600050.SH,20250813,20250813,20250630,1,6348627384.0
600050.SH,20250418,20250418,20250331,1,2605653080.0
600050.SH,20250418,20250418,20250331,1,2605653080.0
600050.SH,20250319,20250319,20241231,1,9029899018.0
600050.SH,20241023,20241023,20240930,1,8338223947.0
600050.SH,20240816,20240816,20240630,1,6039196117.0
600050.SH,20240420,20240420,20240331,1,2446512528.0
600050.SH,20240320,20240320,20231231,1,8172679256.0
