ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801785.SI,20180102,农商行Ⅱ,1164.55,1177.24,1160.73,1169.51,3.84,0.33,6673.0,60179.0,15.74,1.62,2644175.0,7817149.0
801785.SI,20180103,农商行Ⅱ,1169.23,1192.46,1156.34,1189.61,20.1,1.72,11919.0,104767.0,16.01,1.65,2691708.0,7948090.0
801785.SI,20180104,农商行Ⅱ,1193.19,1272.78,1186.07,1242.3,52.69,4.43,29040.0,256023.0,16.72,1.72,2810922.0,8285778.0
801785.SI,20180105,农商行Ⅱ,1233.09,1237.56,1213.99,1217.8,-24.5,-1.97,13135.0,116591.0,16.39,1.68,2755493.0,8125089.0
801785.SI,20180108,农商行Ⅱ,1211.92,1236.47,1209.33,1221.35,3.55,0.29,8513.0,75078.0,16.44,1.69,2763519.0,8140171.0
801785.SI,20180109,农商行Ⅱ,1216.85,1239.29,1209.73,1222.98,1.63,0.13,8236.0,76392.0,16.46,1.69,2767213.0,8164337.0
801785.SI,20180110,农商行Ⅱ,1221.49,1235.01,1208.88,1222.87,-0.11,-0.01,9134.0,85989.0,16.46,1.69,2766959.0,8186847.0
801785.SI,20180111,农商行Ⅱ,1217.78,1229.34,1199.47,1206.81,-16.06,-1.31,9386.0,82814.0,16.24,1.67,2730619.0,8078083.0
801785.SI,20180112,农商行Ⅱ,1204.51,1211.89,1190.46,1193.27,-13.54,-1.12,6068.0,54688.0,16.06,1.65,2699975.0,7960484.0
801785.SI,20180115,农商行Ⅱ,1195.69,1205.96,1168.19,1175.36,-17.91,-1.5,8195.0,71697.0,15.82,1.63,2659459.0,7760408.0
801785.SI,20180116,农商行Ⅱ,1170.06,1190.06,1162.38,1186.57,11.21,0.95,5746.0,49486.0,15.97,1.64,2684831.0,7822176.0
801785.SI,20180117,农商行Ⅱ,1189.33,1260.61,1187.78,1230.71,44.14,3.72,17323.0,150071.0,16.56,1.7,2784710.0,8209229.0
801785.SI,20180118,农商行Ⅱ,1228.41,1308.5,1220.26,1289.61,58.9,4.79,33635.0,323636.0,17.36,1.78,2917992.0,8690116.0
801785.SI,20180119,农商行Ⅱ,1297.65,1415.0,1281.01,1389.63,100.02,7.76,47782.0,459660.0,18.7,1.92,3144316.0,9409905.0
801785.SI,20180122,农商行Ⅱ,1374.73,1402.05,1321.9,1327.61,-62.02,-4.46,40235.0,427086.0,17.87,1.84,3003977.0,9059394.0
801785.SI,20180123,农商行Ⅱ,1295.96,1426.7,1269.77,1392.48,64.87,4.89,49630.0,505870.0,18.74,1.93,3150757.0,9435396.0
801785.SI,20180124,农商行Ⅱ,1363.58,1396.69,1333.32,1367.58,-24.9,-1.79,31076.0,297451.0,18.41,1.89,3094419.0,9097169.0
801785.SI,20180125,农商行Ⅱ,1336.33,1341.41,1300.86,1315.07,-52.51,-3.84,19578.0,180975.0,17.7,1.82,2975605.0,8634484.0
