ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801219.SI,20180102,酒店餐饮,2610.74,2637.15,2569.43,2593.2,-15.65,-0.6,2944.0,38285.0,42.17,2.89,2186878.0,7191916.0
801219.SI,20180103,酒店餐饮,2603.6,2710.82,2590.43,2673.43,80.23,3.09,3560.0,64806.0,44.3,3.0,2251232.0,7571977.0
801219.SI,20180104,酒店餐饮,2664.13,2731.02,2639.7,2688.23,14.8,0.55,3178.0,59054.0,44.68,3.02,2263693.0,7653765.0
801219.SI,20180105,酒店餐饮,2680.15,2715.17,2650.98,2694.36,6.13,0.23,2834.0,49096.0,44.82,3.03,2268852.0,7694067.0
801219.SI,20180108,酒店餐饮,2663.61,2687.35,2588.68,2631.28,-63.08,-2.34,3788.0,73873.0,45.41,3.05,2928480.0,7524918.0
801219.SI,20180109,酒店餐饮,2626.18,2670.02,2594.96,2608.01,-23.27,-0.88,2974.0,56231.0,44.96,3.02,2902577.0,7424835.0
801219.SI,20180110,酒店餐饮,2601.49,2699.12,2579.65,2655.23,47.22,1.81,3646.0,65172.0,45.93,3.07,2955133.0,7580980.0
801219.SI,20180111,酒店餐饮,2648.09,2707.34,2618.35,2685.72,30.49,1.15,3330.0,71557.0,46.84,3.11,2989070.0,7726565.0
801219.SI,20180112,酒店餐饮,2675.41,2713.24,2633.44,2671.08,-14.64,-0.55,2791.0,45507.0,46.44,3.09,2972778.0,7676187.0
801219.SI,20180115,酒店餐饮,2667.8,2748.64,2606.99,2687.93,16.85,0.63,4994.0,89699.0,47.85,3.13,2991531.0,7860350.0
801219.SI,20180116,酒店餐饮,2678.23,2826.8,2659.84,2775.84,87.91,3.27,4312.0,90620.0,49.58,3.24,3089370.0,8138405.0
801219.SI,20180117,酒店餐饮,2767.33,2823.44,2697.32,2756.75,-19.09,-0.69,3392.0,67055.0,48.98,3.21,3068211.0,8063454.0
801219.SI,20180118,酒店餐饮,2748.61,2841.56,2723.08,2820.8,64.05,2.32,2335.0,48837.0,50.52,3.29,3139497.0,8261039.0
801219.SI,20180119,酒店餐饮,2817.63,2874.91,2762.17,2787.98,-32.82,-1.16,2614.0,49286.0,49.8,3.25,3102970.0,8124354.0
801219.SI,20180122,酒店餐饮,2800.76,2868.09,2746.7,2824.75,36.77,1.32,2323.0,44002.0,50.6,3.3,3143890.0,8251294.0
801219.SI,20180123,酒店餐饮,2821.31,2885.0,2804.55,2850.37,25.62,0.91,2479.0,44560.0,51.06,3.33,3172406.0,8337094.0
801219.SI,20180124,酒店餐饮,2842.31,2861.17,2776.33,2809.47,-40.9,-1.43,2533.0,49205.0,50.08,3.28,3126884.0,8175458.0
801219.SI,20180125,酒店餐饮,2803.84,2842.07,2772.02,2792.74,-16.73,-0.6,2096.0,36526.0,49.63,3.26,3108260.0,8111970.0
801219.SI,20180126,酒店餐饮,2805.25,2867.74,2788.95,2841.78,49.04,1.76,3316.0,50271.0,50.62,3.31,3162843.0,8226083.0
801219.SI,20180129,酒店餐饮,2836.12,2854.97,2716.02,2756.47,-85.31,-3.0,4038.0,64419.0,48.9,3.21,3067897.0,7977810.0
801219.SI,20180130,酒店餐饮,2743.8,2789.08,2693.14,2719.89,-36.58,-1.33,2789.0,44454.0,47.94,3.16,3027183.0,7863127.0
801219.SI,20180131,酒店餐饮,2724.79,2766.16,2669.52,2712.04,-7.85,-0.29,3939.0,51532.0,47.78,3.14,3018450.0,7822197.0
801219.SI,20180201,酒店餐饮,2697.26,2792.66,2647.41,2695.61,-16.43,-0.61,4205.0,64913.0,48.06,3.13,3000164.0,7817609.0
801219.SI,20180202,酒店餐饮,2686.88,2736.8,2580.89,2698.45,2.84,0.11,2501.0,50931.0,48.32,3.13,3003326.0,7868184.0
801219.SI,20180205,酒店餐饮,2679.98,2767.14,2643.32,2745.0,46.55,1.73,1797.0,43689.0,49.52,3.19,3055136.0,8034489.0
