ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801055.SI,20180102,工业金属,1683.42,1727.27,1663.53,1712.65,19.93,1.18,122965.0,1063115.0,42.24,2.42,33951927.0,74465559.114843
801055.SI,20180103,工业金属,1692.55,1746.44,1676.88,1716.33,3.67,0.21,130445.0,1139929.0,42.31,2.42,34052944.0,74644095.69401
801055.SI,20180104,工业金属,1690.04,1738.06,1670.42,1727.0,10.67,0.62,120494.0,1088217.0,42.57,2.43,34352375.0,74920992.029506
801055.SI,20180105,工业金属,1703.82,1743.33,1680.39,1716.56,-10.44,-0.6,106526.0,937187.0,42.31,2.42,34144796.0,74399870.662651
801055.SI,20180108,工业金属,1692.57,1768.97,1677.18,1746.72,30.16,1.76,155559.0,1355521.0,43.07,2.46,34744245.0,75655557.892379
801055.SI,20180109,工业金属,1731.63,1772.1,1706.25,1745.91,-0.81,-0.05,117299.0,1047760.0,43.05,2.46,34728183.0,75640008.322075
801055.SI,20180110,工业金属,1720.84,1776.55,1695.01,1737.72,-8.19,-0.47,127962.0,1139731.0,42.87,2.45,34552082.0,75147521.617614
801055.SI,20180111,工业金属,1719.74,1768.25,1695.12,1740.1,2.38,0.14,106486.0,964630.0,42.92,2.46,34742844.0,75293887.215381
801055.SI,20180112,工业金属,1718.01,1753.56,1690.11,1728.12,-11.98,-0.69,95893.0,850845.0,42.63,2.44,34503700.0,74800736.013825
801055.SI,20180115,工业金属,1714.82,1747.6,1651.08,1688.42,-39.7,-2.3,119919.0,1046386.0,41.64,2.38,33711070.0,73057133.027677
801055.SI,20180116,工业金属,1669.94,1708.83,1642.7,1685.04,-3.38,-0.2,92084.0,822607.0,41.55,2.38,33646391.0,72920098.013045
801055.SI,20180117,工业金属,1663.63,1695.51,1624.71,1671.97,-13.07,-0.78,89432.0,790811.0,41.23,2.36,33385398.0,72173419.507659
801055.SI,20180118,工业金属,1659.44,1699.68,1638.61,1677.62,5.65,0.34,55313.0,485862.0,41.37,2.37,33498245.0,72490454.232826
801055.SI,20180119,工业金属,1668.44,1703.46,1640.67,1682.41,4.79,0.29,62243.0,526078.0,41.5,2.38,33593831.0,72665061.785411
801055.SI,20180122,工业金属,1668.48,1714.66,1645.82,1701.84,19.43,1.16,73202.0,652903.0,41.98,2.4,33981853.0,73333298.811788
801055.SI,20180123,工业金属,1687.84,1742.22,1667.65,1725.44,23.6,1.39,112251.0,953251.0,42.57,2.44,34453055.0,74686766.55605
801055.SI,20180124,工业金属,1706.12,1737.62,1670.43,1712.12,-13.32,-0.77,101620.0,905528.0,42.24,2.42,34187044.0,74269803.400552
801055.SI,20180125,工业金属,1712.52,1763.52,1690.92,1733.27,21.15,1.24,123906.0,1110071.0,42.64,2.45,34738805.0,75365278.124094
801055.SI,20180126,工业金属,1708.59,1742.84,1682.0,1718.75,-14.52,-0.84,77273.0,720402.0,42.41,2.41,34491047.0,75037140.950005
801055.SI,20180129,工业金属,1716.46,1756.46,1683.06,1717.46,-1.29,-0.07,93476.0,875553.0,42.38,2.41,34465245.0,74870520.326445
801055.SI,20180130,工业金属,1697.19,1750.03,1673.71,1712.59,-4.87,-0.28,92892.0,869106.0,42.26,2.4,34367532.0,74646922.999965
801055.SI,20180131,工业金属,1686.68,1729.36,1642.88,1696.97,-15.62,-0.91,103893.0,913528.0,41.88,2.38,34054009.0,73728731.661728
801055.SI,20180201,工业金属,1674.35,1715.82,1580.77,1618.36,-78.61,-4.63,159711.0,1355939.0,39.94,2.25,32476513.0,70831666.444427
801055.SI,20180202,工业金属,1581.28,1697.44,1545.14,1675.73,57.38,3.55,168417.0,1386933.0,41.35,2.33,33627906.0,73326764.368081
801055.SI,20180205,工业金属,1629.16,1704.89,1610.97,1674.72,-1.02,-0.06,138311.0,1276231.0,41.34,2.33,33607504.0,73213480.276467
801055.SI,20180206,工业金属,1627.94,1693.07,1578.26,1609.84,-64.87,-3.87,138621.0,1243285.0,39.93,2.25,32305334.0,70467279.129889
801055.SI,20180207,工业金属,1619.35,1664.11,1562.46,1607.27,-2.57,-0.16,121849.0,1107156.0,39.81,2.24,32253744.0,70205436.998928
801055.SI,20180208,工业金属,1567.95,1615.3,1540.32,1588.35,-18.92,-1.18,94694.0,813121.0,39.34,2.22,31873993.0,69463161.035017
801055.SI,20180209,工业金属,1537.64,1573.29,1462.14,1502.77,-85.58,-5.39,126372.0,964349.0,37.22,2.1,30156665.0,65694053.017466
801055.SI,20180212,工业金属,1490.8,1549.24,1474.81,1532.89,30.12,2.0,69908.0,535899.0,39.41,2.13,30761140.0,66997258.861989
801055.SI,20180213,工业金属,1526.91,1572.87,1507.27,1543.72,10.83,0.71,68834.0,549016.0,39.7,2.14,30975978.0,67449055.433549
801055.SI,20180214,工业金属,1535.23,1574.91,1512.62,1555.99,12.27,0.8,51260.0,420868.0,40.01,2.16,31222244.0,67886026.629065
801055.SI,20180222,工业金属,1550.86,1611.56,1533.99,1591.0,35.0,2.25,87584.0,690173.0,40.91,2.21,31924627.0,69415668.951371
801055.SI,20180223,工业金属,1577.28,1614.84,1549.28,1597.21,6.21,0.39,73251.0,603085.0,41.07,2.22,32049321.0,69686769.922746
801055.SI,20180226,工业金属,1580.64,1614.56,1564.25,1602.97,5.76,0.36,98313.0,818979.0,41.22,2.23,32164962.0,70126522.851877
801055.SI,20180227,工业金属,1581.14,1595.52,1550.07,1567.36,-35.61,-2.22,91915.0,777100.0,40.32,2.18,31530286.0,68676502.870792
801055.SI,20180228,工业金属,1533.03,1569.91,1518.61,1551.7,-15.66,-1.0,85573.0,701103.0,39.91,2.16,31215284.0,68091000.325001
801055.SI,20180301,工业金属,1524.87,1556.64,1507.45,1536.26,-15.44,-1.0,178086.0,1116783.0,39.28,2.13,31069993.0,67459303.629319
801055.SI,20180302,工业金属,1518.01,1547.45,1502.76,1521.53,-14.74,-0.96,103702.0,696585.0,38.9,2.11,30771939.0,66760049.820866
801055.SI,20180305,工业金属,1517.3,1537.85,1488.83,1505.77,-15.75,-1.04,103342.0,685118.0,38.5,2.09,30453321.0,66220970.782602
801055.SI,20180306,工业金属,1504.3,1565.56,1485.26,1551.68,45.91,3.05,174481.0,1197920.0,39.67,2.15,31381809.0,68133676.762541
801055.SI,20180307,工业金属,1542.64,1559.93,1513.93,1527.12,-24.56,-1.58,129820.0,943282.0,39.04,2.12,30885070.0,67081209.728707
801055.SI,20180308,工业金属,1523.88,1554.38,1511.0,1531.63,4.51,0.3,97589.0,765280.0,39.15,2.12,30976247.0,67258807.914908
801055.SI,20180309,工业金属,1517.55,1542.63,1502.34,1528.31,-3.31,-0.22,111826.0,852318.0,39.07,2.12,30909245.0,67186635.864532
801055.SI,20180312,工业金属,1533.96,1569.21,1519.63,1552.6,24.28,1.59,150436.0,1169468.0,39.53,2.15,31400351.0,68279354.987201
801055.SI,20180313,工业金属,1546.5,1565.96,1529.81,1541.78,-10.82,-0.7,105961.0,840557.0,38.7,2.15,31181581.0,67912435.291119
801055.SI,20180314,工业金属,1539.74,1576.09,1529.1,1546.83,5.05,0.33,137516.0,1022525.0,38.83,2.15,31283758.0,68057754.5485
801055.SI,20180315,工业金属,1541.86,1553.9,1511.71,1532.15,-14.68,-0.95,93699.0,707029.0,38.28,2.13,30986801.0,67299900.143212
801055.SI,20180316,工业金属,1526.14,1539.05,1504.13,1514.35,-17.8,-1.16,76573.0,585954.0,37.83,2.11,30627084.0,66525179.614685
801055.SI,20180319,工业金属,1509.4,1526.23,1488.13,1509.16,-5.19,-0.34,74384.0,559628.0,37.7,2.1,30522085.0,66299849.826639
801055.SI,20180320,工业金属,1498.03,1521.13,1480.15,1504.2,-4.96,-0.33,78567.0,567537.0,34.63,2.09,30421778.0,66115618.736085
801055.SI,20180321,工业金属,1501.3,1529.49,1482.55,1499.45,-4.75,-0.32,81771.0,619819.0,34.57,2.08,30254573.0,65955886.532969
801055.SI,20180322,工业金属,1504.48,1527.17,1488.25,1504.27,4.82,0.32,73421.0,556836.0,34.68,2.09,30351840.0,66082276.93438
801055.SI,20180323,工业金属,1457.33,1480.89,1389.24,1428.9,-75.36,-5.01,175918.0,1211653.0,33.34,1.98,28831218.0,63057925.810259
801055.SI,20180326,工业金属,1404.58,1447.38,1380.53,1436.84,7.94,0.56,93949.0,645492.0,33.46,1.99,28991407.0,63440972.119357
801055.SI,20180327,工业金属,1451.39,1475.41,1434.15,1459.36,22.51,1.57,92076.0,672024.0,33.63,2.02,29445688.0,64527649.044673
801055.SI,20180328,工业金属,1440.54,1462.56,1423.08,1436.83,-22.53,-1.54,76199.0,536422.0,33.2,1.99,28991184.0,63498650.416206
801055.SI,20180329,工业金属,1437.57,1467.89,1422.06,1452.17,15.33,1.07,85706.0,608495.0,33.64,2.01,29300545.0,64090812.561121
801055.SI,20180330,工业金属,1451.82,1469.11,1436.08,1454.07,1.9,0.13,71393.0,520474.0,33.78,2.01,29340668.0,64151530.570661
801055.SI,20180402,工业金属,1454.35,1485.37,1441.95,1460.02,5.95,0.41,84388.0,614777.0,33.92,2.02,29461080.0,64481634.84758
801055.SI,20180403,工业金属,1446.5,1464.2,1425.59,1444.65,-15.36,-1.05,78447.0,553082.0,33.58,2.0,29168376.0,63826922.990981
801055.SI,20180404,工业金属,1444.99,1464.4,1421.01,1433.0,-11.65,-0.81,72797.0,544668.0,33.29,1.98,28933105.0,63557156.310452
801055.SI,20180409,工业金属,1427.59,1458.19,1411.27,1437.6,4.59,0.32,73530.0,539680.0,33.4,1.99,29025880.0,63654413.015301
