ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801116.SI,20180102,家电零部件Ⅱ,2957.3,3048.58,2910.47,2998.57,68.23,2.33,9792.0,135432.0,40.15,3.33,5145401.0,12988313.0
801116.SI,20180103,家电零部件Ⅱ,3029.26,3087.31,2968.9,3032.54,33.97,1.13,11184.0,139172.0,40.6,3.37,5203701.0,13131942.0
801116.SI,20180104,家电零部件Ⅱ,3042.96,3080.2,2990.18,3028.43,-4.11,-0.14,8285.0,98357.0,40.55,3.36,5195764.0,13115683.0
801116.SI,20180105,家电零部件Ⅱ,3057.73,3097.7,2991.59,3013.34,-15.09,-0.5,7368.0,98865.0,40.34,3.35,5169880.0,13046600.0
801116.SI,20180108,家电零部件Ⅱ,3031.71,3087.08,2969.86,3009.68,-3.66,-0.12,8520.0,116868.0,40.3,3.34,5163599.0,13037562.0
801116.SI,20180109,家电零部件Ⅱ,3042.23,3121.79,2987.85,3050.7,41.02,1.36,10941.0,146156.0,40.87,3.39,5233981.0,13228798.0
801116.SI,20180110,家电零部件Ⅱ,3058.02,3074.21,2969.06,3002.45,-48.25,-1.58,8024.0,101265.0,40.22,3.33,5151197.0,13020948.0
801116.SI,20180111,家电零部件Ⅱ,3013.63,3061.7,2961.36,3019.62,17.17,0.57,6050.0,75671.0,40.44,3.35,5180659.0,13095080.0
801116.SI,20180112,家电零部件Ⅱ,3042.76,3063.67,2978.56,3001.51,-18.11,-0.6,6467.0,67967.0,40.21,3.33,5149591.0,13005457.0
801116.SI,20180115,家电零部件Ⅱ,3021.34,3032.74,2903.16,2912.38,-89.13,-2.97,8137.0,96431.0,39.02,3.23,4996673.0,12614414.0
801116.SI,20180116,家电零部件Ⅱ,2891.5,2934.98,2866.75,2899.73,-12.65,-0.43,8221.0,100250.0,38.83,3.22,4974971.0,12558153.0
801116.SI,20180117,家电零部件Ⅱ,2879.12,2901.75,2815.62,2871.95,-27.78,-0.96,7974.0,96055.0,38.45,3.19,4927316.0,12423127.0
801116.SI,20180118,家电零部件Ⅱ,2844.61,2891.04,2827.6,2853.87,-18.08,-0.63,6483.0,84324.0,38.21,3.17,4896298.0,12336567.0
801116.SI,20180119,家电零部件Ⅱ,2847.3,2909.92,2825.43,2872.59,18.72,0.66,7082.0,100781.0,38.46,3.19,4928424.0,12416783.0
801116.SI,20180122,家电零部件Ⅱ,2854.22,2914.2,2818.09,2894.65,22.06,0.77,7854.0,104293.0,38.76,3.21,4966275.0,12492930.0
801116.SI,20180123,家电零部件Ⅱ,2881.6,2924.66,2859.4,2882.85,-11.8,-0.41,6802.0,90222.0,38.59,3.2,4946025.0,12432740.0
801116.SI,20180124,家电零部件Ⅱ,2882.8,2918.35,2843.26,2904.72,21.87,0.76,9056.0,120235.0,38.89,3.23,4983544.0,12519915.0
801116.SI,20180125,家电零部件Ⅱ,2896.64,2950.63,2863.97,2909.63,4.91,0.17,23094.0,196254.0,38.96,3.23,4991978.0,12537560.0
801116.SI,20180126,家电零部件Ⅱ,2889.31,2933.64,2863.08,2882.91,-26.72,-0.92,18549.0,166519.0,38.6,3.2,4946133.0,12411877.0
801116.SI,20180129,家电零部件Ⅱ,2877.38,2902.98,2798.21,2821.11,-61.8,-2.14,14258.0,143637.0,37.76,3.13,4840103.0,12130657.0
