ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801183.SI,20180102,房地产服务,3338.3,3459.16,3321.04,3423.26,89.89,2.7,8161.0,91136.0,56.11,3.5,2071828.0,6341837.0
801183.SI,20180103,房地产服务,3393.42,3463.19,3364.58,3450.32,27.06,0.79,6886.0,77101.0,56.52,3.53,2088205.0,6382932.0
801183.SI,20180104,房地产服务,3442.18,3462.48,3385.4,3429.64,-20.68,-0.6,5437.0,61116.0,56.16,3.5,2075688.0,6342486.0
801183.SI,20180105,房地产服务,3423.11,3567.0,3391.6,3512.2,82.56,2.41,11284.0,129390.0,57.65,3.59,2125653.0,6487350.0
801183.SI,20180108,房地产服务,3498.36,3526.18,3433.76,3464.0,-48.2,-1.37,8200.0,93993.0,56.85,3.54,2096479.0,6391062.0
801183.SI,20180109,房地产服务,3454.07,3510.99,3378.9,3415.27,-48.73,-1.41,7405.0,83336.0,56.14,3.49,2066988.0,6291089.0
801183.SI,20180110,房地产服务,3397.91,3437.33,3298.5,3357.83,-57.44,-1.68,6396.0,70232.0,55.02,3.43,2032226.0,6192165.0
801183.SI,20180111,房地产服务,3342.92,3412.15,3292.53,3393.25,35.42,1.05,4605.0,49810.0,55.69,3.47,2053662.0,6255130.0
801183.SI,20180112,房地产服务,3377.14,3519.54,3345.42,3417.58,24.33,0.72,8080.0,91662.0,56.02,3.49,2068385.0,6284606.0
801183.SI,20180115,房地产服务,3377.98,3408.94,3247.42,3277.49,-140.09,-4.1,6580.0,70529.0,53.93,3.35,1983601.0,6036089.0
801183.SI,20180116,房地产服务,3275.47,3464.17,3258.42,3425.53,148.04,4.52,9074.0,102337.0,56.78,3.5,2073200.0,6278786.0
801183.SI,20180117,房地产服务,3397.21,3509.79,3317.95,3416.93,-8.6,-0.25,9400.0,108619.0,56.67,3.49,2067992.0,6245816.0
801183.SI,20180118,房地产服务,3405.44,3435.36,3341.2,3386.74,-30.19,-0.88,4493.0,51025.0,56.3,3.46,2049723.0,6202021.0
801183.SI,20180119,房地产服务,3393.09,3433.77,3296.15,3357.18,-29.56,-0.87,6141.0,68077.0,55.51,3.43,2031834.0,6183455.0
801183.SI,20180122,房地产服务,3346.02,3407.23,3306.24,3362.62,5.44,0.16,4090.0,44946.0,55.72,3.44,2035128.0,6189501.0
801183.SI,20180123,房地产服务,3361.64,3400.34,3305.0,3345.24,-17.38,-0.52,4597.0,50872.0,55.42,3.42,2024607.0,6151384.0
801183.SI,20180124,房地产服务,3330.55,3362.34,3261.68,3301.67,-43.57,-1.3,5248.0,57020.0,54.74,3.37,1998235.0,6084924.0
801183.SI,20180125,房地产服务,3302.8,3349.13,3260.76,3312.35,10.68,0.32,4191.0,45257.0,54.82,3.38,2004697.0,6108486.0
801183.SI,20180126,房地产服务,3308.31,3354.58,3260.65,3317.1,4.75,0.14,3998.0,43562.0,54.91,3.39,2007574.0,6103940.0
801183.SI,20180129,房地产服务,3308.85,3348.87,3195.05,3225.5,-91.6,-2.76,5846.0,62990.0,53.51,3.3,1952134.0,5957811.0
