ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801745.SI,20180102,军工电子Ⅱ,3503.16,3575.84,3470.99,3544.78,50.48,1.44,12664.0,241861.0,61.43,3.76,13062172.0,28000306.0
801745.SI,20180103,军工电子Ⅱ,3543.77,3606.04,3500.69,3572.95,28.17,0.79,15344.0,287498.0,61.96,3.79,13151202.0,28187202.0
801745.SI,20180104,军工电子Ⅱ,3557.81,3634.75,3530.09,3588.66,15.71,0.44,16422.0,308723.0,62.28,3.8,13209017.0,28331901.0
801745.SI,20180105,军工电子Ⅱ,3573.21,3611.15,3531.25,3559.77,-28.89,-0.81,12661.0,245196.0,61.78,3.77,13102687.0,28084890.0
801745.SI,20180108,军工电子Ⅱ,3556.53,3597.51,3498.97,3550.0,-9.77,-0.27,12335.0,255055.0,61.66,3.76,13101544.0,28039631.0
801745.SI,20180109,军工电子Ⅱ,3539.39,3586.48,3491.29,3526.41,-23.59,-0.66,13569.0,317645.0,61.26,3.74,13014484.0,27930037.0
801745.SI,20180110,军工电子Ⅱ,3526.9,3568.28,3456.18,3507.6,-18.81,-0.53,14601.0,327026.0,60.97,3.72,12945070.0,27723836.0
801745.SI,20180111,军工电子Ⅱ,3493.77,3550.11,3451.42,3513.43,5.83,0.17,12155.0,261128.0,61.07,3.72,12966599.0,27787300.0
801745.SI,20180112,军工电子Ⅱ,3510.07,3534.33,3452.18,3475.53,-37.9,-1.08,10291.0,218634.0,60.33,3.68,12826710.0,27430497.0
801745.SI,20180115,军工电子Ⅱ,3468.06,3495.55,3304.06,3340.43,-135.1,-3.89,16674.0,334975.0,58.28,3.54,12328124.0,26325061.0
801745.SI,20180116,军工电子Ⅱ,3329.88,3382.86,3285.03,3333.29,-7.14,-0.21,12936.0,249831.0,58.19,3.53,12301793.0,26275688.0
801745.SI,20180117,军工电子Ⅱ,3328.65,3392.13,3248.81,3350.95,17.66,0.53,12848.0,261035.0,58.52,3.55,12366969.0,26469436.0
801745.SI,20180118,军工电子Ⅱ,3339.43,3381.09,3297.23,3326.03,-24.92,-0.74,8433.0,163135.0,58.08,3.53,12275002.0,26242498.0
801745.SI,20180119,军工电子Ⅱ,3341.53,3448.51,3324.25,3368.3,42.27,1.27,15948.0,325560.0,58.82,3.57,12430996.0,26611007.0
801745.SI,20180122,军工电子Ⅱ,3359.26,3427.06,3297.24,3393.55,25.25,0.75,13715.0,290552.0,59.2,3.6,12524180.0,26739721.0
801745.SI,20180123,军工电子Ⅱ,3387.26,3423.27,3342.16,3382.12,-11.43,-0.34,10168.0,204967.0,59.1,3.59,12481997.0,26659770.0
801745.SI,20180124,军工电子Ⅱ,3373.05,3440.84,3339.36,3415.12,33.0,0.98,13020.0,274757.0,59.61,3.62,12603798.0,26982760.0
801745.SI,20180125,军工电子Ⅱ,3410.01,3481.21,3382.91,3410.58,-4.54,-0.13,15398.0,306783.0,59.54,3.62,12587043.0,26910776.0
801745.SI,20180126,军工电子Ⅱ,3401.56,3445.91,3367.73,3394.84,-15.74,-0.46,10225.0,197001.0,59.22,3.6,12530986.0,26759939.0
801745.SI,20180129,军工电子Ⅱ,3387.02,3424.13,3289.44,3328.71,-66.13,-1.95,12752.0,235361.0,58.1,3.53,12290939.0,26229198.0
801745.SI,20180130,军工电子Ⅱ,3316.12,3369.21,3294.28,3337.6,8.89,0.27,7527.0,142853.0,58.42,3.54,12360764.0,26278057.0
801745.SI,20180131,军工电子Ⅱ,3323.49,3348.95,3206.84,3248.86,-88.74,-2.66,10992.0,191411.0,56.81,3.45,12032127.0,25501934.0
801745.SI,20180201,军工电子Ⅱ,3246.5,3288.35,3067.15,3096.82,-152.04,-4.68,15906.0,252159.0,54.2,3.28,11469063.0,24251881.0
801745.SI,20180202,军工电子Ⅱ,3082.7,3159.28,2994.15,3084.05,-12.77,-0.41,10347.0,174868.0,53.89,3.27,11421776.0,24150526.0
801745.SI,20180205,军工电子Ⅱ,3064.66,3137.81,3009.5,3068.52,-15.53,-0.5,7593.0,125464.0,53.68,3.25,11366715.0,23975845.0
801745.SI,20180206,军工电子Ⅱ,3029.9,3063.09,2848.73,2921.9,-146.62,-4.78,12830.0,219753.0,51.12,3.1,10823587.0,22700539.0
801745.SI,20180207,军工电子Ⅱ,2969.95,3011.38,2823.83,2917.55,-4.35,-0.15,11418.0,189915.0,51.09,3.09,10810845.0,22703940.0
801745.SI,20180208,军工电子Ⅱ,2919.87,3032.15,2889.52,2979.14,61.59,2.11,10513.0,158551.0,52.18,3.16,11038978.0,23167884.0
801745.SI,20180209,军工电子Ⅱ,2918.74,3005.41,2813.85,2872.69,-106.45,-3.57,13375.0,188448.0,50.23,3.05,10644544.0,22377396.0
801745.SI,20180212,军工电子Ⅱ,2909.74,3010.36,2875.11,2971.33,98.64,3.43,10413.0,152812.0,51.96,3.15,11010041.0,23111855.0
801745.SI,20180213,军工电子Ⅱ,2993.94,3065.12,2950.26,2987.9,16.57,0.56,10195.0,151439.0,52.32,3.17,11071445.0,23203141.0
801745.SI,20180214,军工电子Ⅱ,2995.45,3038.97,2954.4,2997.16,9.26,0.31,5398.0,82741.0,52.49,3.17,11104224.0,23294246.0
801745.SI,20180222,军工电子Ⅱ,3031.19,3084.24,2989.24,3042.09,44.93,1.5,6412.0,106148.0,53.2,3.21,11270217.0,23676997.0
801745.SI,20180223,军工电子Ⅱ,3049.8,3108.89,3001.26,3050.7,8.61,0.28,8557.0,132856.0,53.35,3.22,11302113.0,23733914.0
801745.SI,20180226,军工电子Ⅱ,3077.81,3198.36,3041.1,3158.1,107.4,3.52,13935.0,236953.0,55.27,3.34,11699987.0,24651932.0
801745.SI,20180227,军工电子Ⅱ,3169.35,3269.42,3132.75,3207.43,49.33,1.56,15991.0,284457.0,56.1,3.39,11940788.0,25058201.0
801745.SI,20180228,军工电子Ⅱ,3192.12,3309.91,3143.24,3219.82,12.39,0.39,17754.0,300231.0,56.27,3.4,11983232.0,25137123.0
801745.SI,20180301,军工电子Ⅱ,3212.5,3297.91,3173.32,3253.74,33.92,1.05,14624.0,245895.0,56.81,3.44,12108290.0,25437310.0
801745.SI,20180302,军工电子Ⅱ,3245.05,3320.87,3194.01,3232.79,-20.95,-0.64,13958.0,238147.0,56.36,3.42,12030317.0,25262386.0
801745.SI,20180305,军工电子Ⅱ,3268.06,3334.88,3224.92,3281.23,48.44,1.5,13798.0,255701.0,57.35,3.47,12306797.0,26500265.0
801745.SI,20180306,军工电子Ⅱ,3297.23,3378.36,3259.23,3321.4,40.17,1.22,15679.0,300630.0,58.13,3.51,12457465.0,26919134.0
801745.SI,20180307,军工电子Ⅱ,3310.82,3356.39,3248.42,3276.18,-45.22,-1.36,12640.0,235787.0,57.36,3.47,12287840.0,26642744.0
801745.SI,20180308,军工电子Ⅱ,3273.74,3319.02,3231.6,3274.03,-2.15,-0.07,10055.0,188821.0,57.25,3.46,12278206.0,26722467.0
801745.SI,20180309,军工电子Ⅱ,3284.58,3392.42,3257.66,3355.59,81.56,2.49,16076.0,290485.0,58.67,3.55,12584078.0,27487877.0
801745.SI,20180312,军工电子Ⅱ,3380.26,3462.24,3341.77,3405.4,49.81,1.48,19058.0,343352.0,59.52,3.6,12770858.0,28004219.0
801745.SI,20180313,军工电子Ⅱ,3416.78,3459.76,3354.41,3382.7,-22.7,-0.67,14104.0,256650.0,59.13,3.58,12685732.0,27855585.0
801745.SI,20180314,军工电子Ⅱ,3389.91,3428.71,3319.44,3331.12,-51.58,-1.52,13681.0,259045.0,58.2,3.52,12492297.0,27560418.0
801745.SI,20180315,军工电子Ⅱ,3331.81,3399.01,3277.34,3342.6,11.48,0.34,14068.0,255971.0,58.38,3.54,12535360.0,27758035.0
801745.SI,20180316,军工电子Ⅱ,3355.59,3396.52,3297.56,3319.38,-23.22,-0.69,14371.0,294732.0,57.98,3.51,12448267.0,27632463.0
801745.SI,20180319,军工电子Ⅱ,3328.63,3415.84,3285.98,3351.25,31.87,0.96,18570.0,402803.0,58.53,3.54,12567793.0,28081276.0
801745.SI,20180320,军工电子Ⅱ,3332.18,3398.33,3285.45,3358.21,6.96,0.21,16615.0,342279.0,58.67,3.54,12593884.0,28071729.0
801745.SI,20180321,军工电子Ⅱ,3368.82,3460.34,3320.61,3356.6,-1.61,-0.05,23394.0,523183.0,58.74,3.54,12587844.0,28257982.0
