model,samples,event_rate,mean_probability,brier,log_loss,roc_auc
price_only,998,0.31162324649298595,0.3986071205579838,0.2194137171612137,0.6305050963437699,0.5899455669601277
expanding_rate_baseline,998,0.31162324649298595,0.4128440820252386,0.23945507728790047,0.6721955013691442,0.30149491942693196
rolling_504_rate_baseline,998,0.31162324649298595,0.28920539491681774,0.24175524139738283,0.6878187661691854,0.44232812404929395
price_only_rolling756,998,0.31162324649298595,0.31152226253002924,0.24981681733921096,0.709568325641629,0.45283795990770254
price_plus_market_regime,998,0.31162324649298595,0.4011462452309939,0.2248166193318723,0.6436836268701037,0.5663001914283173
price_plus_market_regime_rolling756,998,0.31162324649298595,0.314494082241515,0.25700172202501875,0.7343993184918699,0.46475893605170904
price_regime_cross_breadth,998,0.31162324649298595,0.4020367728543167,0.22825727120595007,0.6521685718644128,0.546291485886257
price_regime_cross_breadth_rolling756,998,0.31162324649298595,0.3080507813928231,0.2550892386022353,0.7390079369554572,0.48097183803947446
