ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
600519.SH,贵州茅台,20260903,白酒板块2026年中报总结：报表出清，局部分化,一般,一般报告,光大证券,"叶倩瑜,李嘉祺,董博文",2027Q2,,,,,70.56,18.0,,,,,,
600519.SH,贵州茅台,20260903,白酒板块2026年中报总结：报表出清，局部分化,一般,一般报告,光大证券,"叶倩瑜,李嘉祺,董博文",2026Q2,,,,,66.86,19.0,,,,,,
600519.SH,贵州茅台,20260901,食品饮料2Q26业绩回顾：白酒加速出清，大众品延续稳健表现,点评,一般报告,中金公司,"王文丹,季雯婕,祝美学,陈文博,孙瑜,王尧,沈旸,武雨欣,王雪骄,李茗蕙",2027Q4,18376300.0,,,8665800.0,,18.7,,31.8,,,,
600519.SH,贵州茅台,20260901,食品饮料2Q26业绩回顾：白酒加速出清，大众品延续稳健表现,点评,一般报告,中金公司,"王文丹,季雯婕,祝美学,陈文博,孙瑜,王尧,沈旸,武雨欣,王雪骄,李茗蕙",2026Q4,17670000.0,,,8331900.0,,19.5,,32.8,,,,
600519.SH,贵州茅台,20260827,贵州茅台2026年中报点评：茅台酒业务保持稳健，市场化程度持续提升,点评,一般报告,长江证券,"朱梦兰,董思远",2028Q2,18502800.0,12460400.0,12454700.0,8934400.0,71.47,18.25,,21.6,11.15,买入,,
600519.SH,贵州茅台,20260827,贵州茅台2026年中报点评：茅台酒业务保持稳健，市场化程度持续提升,点评,一般报告,长江证券,"朱梦兰,董思远",2027Q2,17709900.0,11770500.0,11764900.0,8439600.0,67.51,19.31,,23.6,12.26,买入,,
600519.SH,贵州茅台,20260827,贵州茅台2026年中报点评：茅台酒业务保持稳健，市场化程度持续提升,点评,一般报告,长江证券,"朱梦兰,董思远",2026Q2,17169700.0,11313600.0,11308200.0,8112000.0,64.89,20.1,,26.9,13.1,买入,,
600519.SH,贵州茅台,20260824,贵州茅台：市场化改革顺利推进，坚定茅台底部区间配置价值,一般,一般报告,浙商证券,"张潇倩,何宇航",2028Q4,,12598800.0,12594600.0,9139177.0,72.98,17.88,,19.51,10.86,,,
600519.SH,贵州茅台,20260824,贵州茅台：市场化改革顺利推进，坚定茅台底部区间配置价值,一般,一般报告,浙商证券,"张潇倩,何宇航",2027Q4,,11941800.0,11937200.0,8662112.0,69.17,18.86,,22.8,12.1,,,
600519.SH,贵州茅台,20260824,贵州茅台：市场化改革顺利推进，坚定茅台底部区间配置价值,一般,一般报告,浙商证券,"张潇倩,何宇航",2026Q4,,11309500.0,11304500.0,8235766.0,65.77,19.84,,27.89,13.35,,,
600519.SH,贵州茅台,20260823,贵州茅台：以市场化破酒业时代之变局,一般,一般报告,国海证券,刘旭德,2028Q4,20541200.0,12759400.0,12756400.0,9330500.0,74.64,17.05,,31.0,11.54,买入,,
600519.SH,贵州茅台,20260823,贵州茅台：以市场化破酒业时代之变局,一般,一般报告,国海证券,刘旭德,2027Q4,18963700.0,11896500.0,11893500.0,8702700.0,69.62,18.28,,31.0,12.51,买入,,
600519.SH,贵州茅台,20260823,贵州茅台：以市场化破酒业时代之变局,一般,一般报告,国海证券,刘旭德,2026Q4,17933000.0,11642100.0,11637100.0,8386900.0,67.09,18.97,,32.0,12.9,买入,,
600519.SH,贵州茅台,20260821,贵州茅台：市场化改革带来短期业绩阵痛，公司改革成效显著，基本面仍具韧性,点评,一般报告,中银证券,"邓天娇,李育文",2028Q4,18864900.0,12827400.0,12822900.0,9209100.0,73.67,17.8,4.2,29.7,11.7,买入,,
600519.SH,贵州茅台,20260821,贵州茅台：市场化改革带来短期业绩阵痛，公司改革成效显著，基本面仍具韧性,点评,一般报告,中银证券,"邓天娇,李育文",2027Q4,18016400.0,12192000.0,12187500.0,8776300.0,70.21,18.6,4.0,30.5,12.5,买入,,
600519.SH,贵州茅台,20260821,贵州茅台：市场化改革带来短期业绩阵痛，公司改革成效显著，基本面仍具韧性,点评,一般报告,中银证券,"邓天娇,李育文",2026Q4,17329500.0,11647600.0,11642300.0,8383700.0,67.07,19.5,3.8,31.6,13.4,买入,,
600519.SH,贵州茅台,20260819,白酒板块8月投资策略及26Q2前瞻：淡季需求自然回落，飞天三档场景化价格体系成形,一般,一般报告,国信证券,"张向伟,王新雨",2027Q4,18376000.0,,,8863000.0,,18.9,,,,,,
600519.SH,贵州茅台,20260819,白酒板块8月投资策略及26Q2前瞻：淡季需求自然回落，飞天三档场景化价格体系成形,一般,一般报告,国信证券,"张向伟,王新雨",2026Q4,17334000.0,,,8237000.0,,20.4,3.93,,,,,
600519.SH,贵州茅台,20260819,贵州茅台中报点评：效益服从质量，转型期关注改革成果,点评,一般报告,华西证券,"寇星,沈嘉雯",2028Q2,19017200.0,12541900.0,12541900.0,9014700.0,72.11,18.0,,18.0,,买入,,
