ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
688183.SH,生益电子,20260504,生益电子：Q1毛利率突破35%创新高，客户切换过渡期后增长有望再提速,点评,一般报告,招商证券,"鄢凡,程鑫,涂锟山",2026Q4,1424100.0,,305100.0,271100.0,3.26,33.6,,40.3,27.0,增持,,
688183.SH,生益电子,20260504,生益电子：Q1毛利率突破35%创新高，客户切换过渡期后增长有望再提速,点评,一般报告,招商证券,"鄢凡,程鑫,涂锟山",2027Q4,1993700.0,,472300.0,419700.0,5.05,21.7,,44.6,18.1,增持,,
688183.SH,生益电子,20260504,生益电子：Q1毛利率突破35%创新高，客户切换过渡期后增长有望再提速,点评,一般报告,招商证券,"鄢凡,程鑫,涂锟山",2028Q4,2691500.0,,682900.0,606800.0,7.29,15.0,,45.0,12.9,增持,,
688183.SH,生益电子,20260427,生益电子：看好二季度以后业绩再加速,点评,一般报告,野村东方国际证券,"戴洁,李之婧",2028Q4,2254800.0,796400.0,497700.0,442200.0,5.32,22.7,0.1,32.0,20.7,增持,,146.0
688183.SH,生益电子,20260427,生益电子：看好二季度以后业绩再加速,点评,一般报告,野村东方国际证券,"戴洁,李之婧",2026Q4,1362900.0,461000.0,278000.0,247000.0,2.97,40.7,0.0,35.4,26.5,增持,,146.0
688183.SH,生益电子,20260427,生益电子：看好二季度以后业绩再加速,点评,一般报告,野村东方国际证券,"戴洁,李之婧",2027Q4,1821200.0,632500.0,390300.0,346800.0,4.17,29.0,0.0,35.0,19.1,增持,,146.0
688183.SH,生益电子,20260425,Shengyi＿Electronics：Growth＿may＿re－accelerate＿from＿2Q26F＿after＿a＿transition＿period,一般,一般报告,NOMURA,"Bing Duan,Anne Lee",2028Q4,2254800.0,796400.0,497700.0,442200.0,5.32,20.7,0.0,32.0,14.8,Buy,,146.0
688183.SH,生益电子,20260425,Shengyi＿Electronics：Growth＿may＿re－accelerate＿from＿2Q26F＿after＿a＿transition＿period,一般,一般报告,NOMURA,"Bing Duan,Anne Lee",2027Q4,1821200.0,632500.0,390300.0,346800.0,4.17,26.4,0.0,35.0,19.1,Buy,,146.0
688183.SH,生益电子,20260425,Shengyi＿Electronics：Growth＿may＿re－accelerate＿from＿2Q26F＿after＿a＿transition＿period,一般,一般报告,NOMURA,"Bing Duan,Anne Lee",2026Q4,1362900.0,461000.0,278000.0,247000.0,2.97,37.1,0.0,35.4,26.5,Buy,,146.0
688183.SH,生益电子,20260425,Shengyi＿Electronics：Growth＿may＿re－accelerate＿from＿2Q26F＿after＿a＿transition＿period,一般,一般报告,NOMURA,"Bing Duan,Anne Lee",2026Q1,271800.0,89200.0,49100.0,43600.0,,,,,,Buy,,146.0
688183.SH,生益电子,20260204,生益电子：Q4环降源于下游大客户拉货放缓，静待Q2新架构产品拉货,点评,一般报告,招商证券,"鄢凡,程鑫,涂锟山",2025Q4,984200.0,,163900.0,147500.0,1.77,48.8,,30.1,37.8,增持,,
688183.SH,生益电子,20260204,生益电子：Q4环降源于下游大客户拉货放缓，静待Q2新架构产品拉货,点评,一般报告,招商证券,"鄢凡,程鑫,涂锟山",2026Q4,1525500.0,,282300.0,254100.0,3.05,28.3,,38.6,23.8,增持,,
688183.SH,生益电子,20260204,生益电子：Q4环降源于下游大客户拉货放缓，静待Q2新架构产品拉货,点评,一般报告,招商证券,"鄢凡,程鑫,涂锟山",2027Q4,2212000.0,,453400.0,408100.0,4.91,17.6,,43.9,15.5,增持,,
688183.SH,生益电子,20260115,生益电子：在核心ASIC客户处仍维持领先，但竞争可能加剧,点评,一般报告,野村东方国际证券,"戴洁,李之婧",2027Q4,1682500.0,579200.0,326900.0,309300.0,3.72,25.7,0.2,31.7,20.7,中性,,99.0
