ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
300408.SZ,三环集团,20260601,三环集团：MLCC进入涨价周期，SOFC隔膜片远期空间广阔,点评,首份报告,东北证券,"李恒光,张宇洋",2026Q4,1162900.0,,421900.0,368200.0,1.92,65.38,0.5,15.31,,增持,,
300408.SZ,三环集团,20260601,三环集团：MLCC进入涨价周期，SOFC隔膜片远期空间广阔,点评,首份报告,东北证券,"李恒光,张宇洋",2027Q4,1476700.0,,556000.0,484500.0,2.53,49.69,0.66,17.75,,增持,,
300408.SZ,三环集团,20260601,三环集团：MLCC进入涨价周期，SOFC隔膜片远期空间广阔,点评,首份报告,东北证券,"李恒光,张宇洋",2028Q4,1892000.0,,731200.0,637500.0,3.33,37.77,0.87,20.2,,增持,,
300408.SZ,三环集团,20260511,Chaozhou＿Three－Circle：MLCC＿and＿SOFC＿segments＿beat＿our＿estimates；lift＿earnings＿estimates＿and＿price＿target,一般,一般报告,UBS,"李伟臻,郭一凡",2026Q4,1206700.0,518500.0,411300.0,358300.0,1.87,47.2,0.6,15.5,37.9,Buy,,108.0
300408.SZ,三环集团,20260511,Chaozhou＿Three－Circle：MLCC＿and＿SOFC＿segments＿beat＿our＿estimates；lift＿earnings＿estimates＿and＿price＿target,一般,一般报告,UBS,"李伟臻,郭一凡",2027Q4,1540900.0,679400.0,557400.0,485800.0,2.53,34.8,0.9,18.4,28.2,Buy,,108.0
300408.SZ,三环集团,20260511,Chaozhou＿Three－Circle：MLCC＿and＿SOFC＿segments＿beat＿our＿estimates；lift＿earnings＿estimates＿and＿price＿target,一般,一般报告,UBS,"李伟臻,郭一凡",2028Q4,1922300.0,863600.0,701200.0,611100.0,3.19,27.7,1.1,20.0,22.3,Buy,,108.0
300408.SZ,三环集团,20260508,三环集团：高容MLCC，MT插芯，SOFC隔膜片加速增长,点评,一般报告,中邮证券,"吴文吉,徐铭婉",2028Q4,1663900.0,,609200.0,529748.0,2.76,31.47,,17.5,22.19,买入,,
300408.SZ,三环集团,20260508,三环集团：高容MLCC，MT插芯，SOFC隔膜片加速增长,点评,一般报告,中邮证券,"吴文吉,徐铭婉",2027Q4,1378100.0,,492500.0,428229.0,2.23,38.93,,16.0,27.52,买入,,
300408.SZ,三环集团,20260508,三环集团：高容MLCC，MT插芯，SOFC隔膜片加速增长,点评,一般报告,中邮证券,"吴文吉,徐铭婉",2026Q4,1135000.0,,387200.0,336675.0,1.76,49.51,,14.1,34.21,买入,,
300408.SZ,三环集团,20260504,三环集团：25业绩稳健增长，多业务板块协同发力,点评,一般报告,华安证券,"李美贤,闫春旭",2028Q4,1678300.0,,638900.0,556000.0,2.9,29.54,,15.8,21.42,买入,,
300408.SZ,三环集团,20260504,三环集团：25业绩稳健增长，多业务板块协同发力,点评,一般报告,华安证券,"李美贤,闫春旭",2027Q4,1416700.0,,521800.0,454100.0,2.37,36.17,,15.3,26.31,买入,,
300408.SZ,三环集团,20260504,三环集团：25业绩稳健增长，多业务板块协同发力,点评,一般报告,华安证券,"李美贤,闫春旭",2026Q4,1141100.0,,412400.0,358900.0,1.87,45.77,,14.3,32.95,买入,,
300408.SZ,三环集团,20260429,三环集团：业绩稳健增长，MLCC/SOFC/光通信多元布局,点评,一般报告,国投证券,马良,2026Q4,1182000.0,,397100.0,349400.0,1.82,44.8,0.5,14.3,32.7,买入,,94.8
300408.SZ,三环集团,20260429,三环集团：业绩稳健增长，MLCC/SOFC/光通信多元布局,点评,一般报告,国投证券,马良,2027Q4,1442100.0,,509900.0,448800.0,2.34,34.9,0.5,15.9,25.0,买入,,94.8
300408.SZ,三环集团,20260429,三环集团：业绩稳健增长，MLCC/SOFC/光通信多元布局,点评,一般报告,国投证券,马良,2028Q4,1789900.0,,634100.0,558100.0,2.91,28.0,0.5,16.9,20.4,买入,,94.8
300408.SZ,三环集团,20260427,三环集团：MLCC高端化与国产替代共振，SOFC快速增长,点评,一般报告,国信证券,"胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",2028Q4,1707800.0,,588500.0,512200.0,2.67,28.1,1.0,16.5,24.8,优于大市,,
300408.SZ,三环集团,20260427,三环集团：MLCC高端化与国产替代共振，SOFC快速增长,点评,一般报告,国信证券,"胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",2027Q4,1462100.0,,491100.0,427500.0,2.23,33.6,0.8,15.7,29.1,优于大市,,
300408.SZ,三环集团,20260427,三环集团：MLCC高端化与国产替代共振，SOFC快速增长,点评,一般报告,国信证券,"胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",2026Q4,1225300.0,,408200.0,355300.0,1.85,40.4,0.7,14.7,35.0,优于大市,,
300408.SZ,三环集团,20260425,三环集团2026年一季报点评：业绩超预期，MLCC/SOFC/光通信器件共振向上,点评,一般报告,华创证券,"岳阳,熊翊宇,董邦宜",2028Q4,2404400.0,,796700.0,701400.0,3.66,20.0,,20.6,16.0,强推,,86.1
