ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
601398.SH,工商银行,20260901,工商银行2026年半年报业绩点评：业绩表现超预期，净息差企稳回升,点评,一般报告,银河证券,张一纬,2028Q2,101857500.0,,50434600.0,41989100.0,1.18,6.67,,9.27,,推荐,,
601398.SH,工商银行,20260901,工商银行2026年半年报业绩点评：业绩表现超预期，净息差企稳回升,点评,一般报告,银河证券,张一纬,2027Q2,96063900.0,,47730700.0,39754000.0,1.12,7.05,,9.28,,推荐,,
601398.SH,工商银行,20260901,工商银行2026年半年报业绩点评：业绩表现超预期，净息差企稳回升,点评,一般报告,银河证券,张一纬,2026Q2,90928600.0,,45717300.0,38055200.0,1.07,7.36,,9.28,,推荐,,
601398.SH,工商银行,20260901,工商银行：营收修复延续，息差降幅收窄,点评,一般报告,平安证券,"袁喆奇,李灵琇",2028Q4,93572100.0,,47370100.0,41134300.0,1.15,6.99,,9.1,,推荐,,
601398.SH,工商银行,20260901,工商银行：营收修复延续，息差降幅收窄,点评,一般报告,平安证券,"袁喆奇,李灵琇",2027Q4,87280800.0,,44917200.0,39004300.0,1.09,7.37,,9.2,,推荐,,
601398.SH,工商银行,20260901,工商银行：营收修复延续，息差降幅收窄,点评,一般报告,平安证券,"袁喆奇,李灵琇",2026Q4,82632400.0,,43501800.0,37775200.0,1.06,7.61,,9.5,,推荐,,
601398.SH,工商银行,20260901,工商银行2026年中报点评：分红率提升，营收加速,点评,一般报告,兴业证券,"陈绍兴,刘子健,杨皓然",2028Q2,101839800.0,47430800.0,47463200.0,41237200.0,1.09,,,8.84,,,,
601398.SH,工商银行,20260901,工商银行2026年中报点评：分红率提升，营收加速,点评,一般报告,兴业证券,"陈绍兴,刘子健,杨皓然",2027Q2,96847100.0,45654600.0,45687000.0,39686900.0,1.04,,,9.05,,,,
601398.SH,工商银行,20260901,工商银行2026年中报点评：分红率提升，营收加速,点评,一般报告,兴业证券,"陈绍兴,刘子健,杨皓然",2026Q2,92479800.0,44013500.0,44045900.0,38254700.0,1.0,,,9.29,,,,
601398.SH,工商银行,20260830,工商银行：营收提速幅度较大，对公理财发展强劲,点评,一般报告,国海证券,"林加力,徐凝碧",2028Q4,101387600.0,,48632500.0,42445500.0,1.16,5.94,,9.08,,买入,,
601398.SH,工商银行,20260830,工商银行：营收提速幅度较大，对公理财发展强劲,点评,一般报告,国海证券,"林加力,徐凝碧",2027Q4,96179700.0,,46378400.0,40478200.0,1.1,6.27,,9.22,,买入,,
601398.SH,工商银行,20260830,工商银行：营收提速幅度较大，对公理财发展强劲,点评,一般报告,国海证券,"林加力,徐凝碧",2026Q4,90582000.0,,44091800.0,38482500.0,1.05,6.63,,9.35,,买入,,
601398.SH,工商银行,20260830,工商银行2026年半年报点评：营收增速环比提升，中期分红率升至31%,点评,一般报告,光大证券,"王一峰,董文欣",2028Q2,92975500.0,,46015700.0,39795700.0,1.12,7.04,,8.76,,买入,,
601398.SH,工商银行,20260830,工商银行2026年半年报点评：营收增速环比提升，中期分红率升至31%,点评,一般报告,光大证券,"王一峰,董文欣",2027Q2,90022200.0,,44550000.0,38528100.0,1.08,7.27,,9.04,,买入,,
601398.SH,工商银行,20260830,工商银行2026年半年报点评：营收增速环比提升，中期分红率升至31%,点评,一般报告,光大证券,"王一峰,董文欣",2026Q2,87241800.0,,43441300.0,37569200.0,1.05,7.46,,9.41,,买入,,
601398.SH,工商银行,20260830,工商银行：业绩增速回升，息差保持稳定,点评,一般报告,中金公司,"林英奇,许鸿明,张帅帅",2027Q4,97098500.0,,46710000.0,39908600.0,1.1,7.2,4.4,8.5,,跑赢行业,9.43,9.43
601398.SH,工商银行,20260830,工商银行：业绩增速回升，息差保持稳定,点评,一般报告,中金公司,"林英奇,许鸿明,张帅帅",2026Q4,90535700.0,,44860000.0,38394900.0,1.05,7.5,4.2,8.7,,跑赢行业,9.43,9.43
601398.SH,工商银行,20260829,工商银行：盈利稳中有进，分红再上台阶,点评,一般报告,华泰证券,"沈娟,贺雅亭",2028Q4,103237900.0,,,42634900.0,1.2,6.57,4.57,8.6,,买入,9.63,9.63
601398.SH,工商银行,20260829,工商银行：盈利稳中有进，分红再上台阶,点评,一般报告,华泰证券,"沈娟,贺雅亭",2027Q4,97146200.0,,,40287200.0,1.13,6.95,4.32,8.64,,买入,9.63,9.63
601398.SH,工商银行,20260829,工商银行：盈利稳中有进，分红再上台阶,点评,一般报告,华泰证券,"沈娟,贺雅亭",2026Q4,91540800.0,,,38378000.0,1.08,7.3,4.11,8.76,,买入,9.63,9.63
601398.SH,工商银行,20260610,工商银行2026年一季报点评：息差正式回升，利息增速反转,一般,一般报告,长江证券,"马祥云,盛悦菲,谢金彤",2028Q4,96323100.0,,,40036500.0,1.123,6.88,4.49,8.62,,买入,,
601398.SH,工商银行,20260610,工商银行2026年一季报点评：息差正式回升，利息增速反转,一般,一般报告,长江证券,"马祥云,盛悦菲,谢金彤",2027Q4,93502300.0,,,38853700.0,1.09,7.1,4.36,8.88,,买入,,
601398.SH,工商银行,20260610,工商银行2026年一季报点评：息差正式回升，利息增速反转,一般,一般报告,长江证券,"马祥云,盛悦菲,谢金彤",2026Q4,89057300.0,,,37918100.0,1.064,7.28,4.26,9.21,,买入,,
601398.SH,工商银行,20260430,工商银行：利息收入强劲修复,点评,一般报告,华泰证券,"沈娟,贺雅亭",2028Q4,101730300.0,,,41864200.0,1.17,6.36,4.72,8.46,,买入,,9.62
601398.SH,工商银行,20260430,工商银行：利息收入强劲修复,点评,一般报告,华泰证券,"沈娟,贺雅亭",2027Q4,95727700.0,,,39705700.0,1.11,6.71,4.48,8.53,,买入,,9.62
601398.SH,工商银行,20260430,工商银行：利息收入强劲修复,点评,一般报告,华泰证券,"沈娟,贺雅亭",2026Q4,90208300.0,,,38043200.0,1.07,7.0,4.29,8.69,,买入,,9.62
601398.SH,工商银行,20260430,工商银行：息差回升，业绩超预期,一般,一般报告,中金,"林英奇,许鸿明,张帅帅",2027Q4,96244900.0,,45632100.0,39338200.0,1.104,6.9,4.4,8.4,,跑赢行业,,9.09
601398.SH,工商银行,20260430,工商银行：息差回升，业绩超预期,一般,一般报告,中金,"林英奇,许鸿明,张帅帅",2026Q4,89249300.0,,43938000.0,38153900.0,1.071,7.2,4.3,8.7,,跑赢行业,,9.09
601398.SH,工商银行,20260430,工商银行2026年一季报点评：业绩开门红，质量再夯实,点评,一般报告,中信证券,"肖斐斐,彭博",2028Q4,101390600.0,,48701000.0,42304300.0,1.187,6.47,,,,增持,,9.0
