ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
002463.SZ,沪电股份,20260523,WUS：Mgmt.visit：Positive＿on＿Al＿PCB＿end＿demand；Capacity＿expansion＿supporting＿shipment＿growth,点评,一般报告,高盛集团（GoldmanSachs）,"Verena Jeng,Allen Chang,Yifan Hu",2026Q2,,,,,1.4,,,,,Buy,,142.0
002463.SZ,沪电股份,20260523,WUS：Mgmt.visit：Positive＿on＿Al＿PCB＿end＿demand；Capacity＿expansion＿supporting＿shipment＿growth,点评,一般报告,高盛集团（GoldmanSachs）,"Verena Jeng,Allen Chang,Yifan Hu",2026Q4,2896670.0,,,,3.38,33.7,0.4,,,Buy,,142.0
002463.SZ,沪电股份,20260523,WUS：Mgmt.visit：Positive＿on＿Al＿PCB＿end＿demand；Capacity＿expansion＿supporting＿shipment＿growth,点评,一般报告,高盛集团（GoldmanSachs）,"Verena Jeng,Allen Chang,Yifan Hu",2027Q4,4696410.0,,,,6.18,18.4,0.5,,,Buy,,142.0
002463.SZ,沪电股份,20260523,WUS：Mgmt.visit：Positive＿on＿Al＿PCB＿end＿demand；Capacity＿expansion＿supporting＿shipment＿growth,点评,一般报告,高盛集团（GoldmanSachs）,"Verena Jeng,Allen Chang,Yifan Hu",2028Q4,6346710.0,,,,8.75,13.0,0.8,,,Buy,,142.0
002463.SZ,沪电股份,20260513,通信：海外巨头资本开支再创新高，持续看好光纤光缆等算力产业链投资机会,非个股,一般报告,长城证券,"侯宾,姚久花,王钰民",2026Q4,,,,481090.884,2.5,,,,,买入,,
002463.SZ,沪电股份,20260513,通信：海外巨头资本开支再创新高，持续看好光纤光缆等算力产业链投资机会,非个股,一般报告,长城证券,"侯宾,姚久花,王钰民",2027Q4,,,,588855.242,3.06,,,,,买入,,
002463.SZ,沪电股份,20260510,WUS：High＿speed＿connection＿drives＿growth＿ahead；Buy＿with＿TP＿up＿to＿Rmb142,点评,一般报告,高盛集团（GoldmanSachs）,"Verena Jeng,Allen Chang",2026Q2,,,,,1.4,,,,,Buy,,142.0
002463.SZ,沪电股份,20260510,WUS：High＿speed＿connection＿drives＿growth＿ahead；Buy＿with＿TP＿up＿to＿Rmb142,点评,一般报告,高盛集团（GoldmanSachs）,"Verena Jeng,Allen Chang",2026Q4,2896670.0,1061900.0,,650600.0,3.38,32.2,0.5,,,Buy,,142.0
002463.SZ,沪电股份,20260510,WUS：High＿speed＿connection＿drives＿growth＿ahead；Buy＿with＿TP＿up＿to＿Rmb142,点评,一般报告,高盛集团（GoldmanSachs）,"Verena Jeng,Allen Chang",2027Q4,4696410.0,1766500.0,,1190200.0,6.18,17.6,0.6,,,Buy,,142.0
002463.SZ,沪电股份,20260510,WUS：High＿speed＿connection＿drives＿growth＿ahead；Buy＿with＿TP＿up＿to＿Rmb142,点评,一般报告,高盛集团（GoldmanSachs）,"Verena Jeng,Allen Chang",2028Q4,6346710.0,2437400.0,,1683300.0,8.75,12.4,0.8,,,Buy,,142.0
002463.SZ,沪电股份,20260505,沪电股份：26Q1业绩落于指引上沿，大规模扩产周期全面开启,点评,一般报告,招商证券,"鄢凡,程鑫,涂锟山",2028Q4,5351800.0,,1595200.0,1386400.0,7.2,14.2,,41.2,9.7,强烈推荐,,
002463.SZ,沪电股份,20260505,沪电股份：26Q1业绩落于指引上沿，大规模扩产周期全面开启,点评,一般报告,招商证券,"鄢凡,程鑫,涂锟山",2027Q4,3964300.0,,1139900.0,990700.0,5.15,19.9,,41.0,13.5,强烈推荐,,
002463.SZ,沪电股份,20260505,沪电股份：26Q1业绩落于指引上沿，大规模扩产周期全面开启,点评,一般报告,招商证券,"鄢凡,程鑫,涂锟山",2026Q4,2557600.0,,683400.0,594000.0,3.09,33.2,,33.7,21.9,强烈推荐,,
002463.SZ,沪电股份,20260502,沪电股份公司动态研究2075003：营收业绩稳步增长，AI需求高度景气,点评,首份报告,国海证券,"胡剑,傅麒丞",2026Q4,2837700.0,,702100.0,610800.0,3.17,32.31,,31.0,24.31,买入,,
