ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
688981.SH,中芯国际,20260531,中芯国际跟踪点评：关注涨价＋扩产＋先进封装多重催化,点评,一般报告,中信证券,"徐涛,胡叶倩雯,王子源",,,,,,,,,,,买入,,193.0
688981.SH,中芯国际,20260522,中芯国际：再上新台阶,点评,一般报告,中邮证券,"吴文吉,翟一梦",2026Q4,7918500.0,,1034000.0,634832.0,0.79,160.58,,4.1,21.31,买入,,
688981.SH,中芯国际,20260522,中芯国际：再上新台阶,点评,一般报告,中邮证券,"吴文吉,翟一梦",2027Q4,9109700.0,,1119800.0,761485.0,0.95,133.87,,4.7,18.54,买入,,
688981.SH,中芯国际,20260522,中芯国际：再上新台阶,点评,一般报告,中邮证券,"吴文吉,翟一梦",2028Q4,10410700.0,,1307300.0,944492.0,1.18,107.93,,5.5,16.05,买入,,
688981.SH,中芯国际,20260520,中芯国际2026年一季度业绩点评：1Q业绩和2Q指引超预期，AI需求和制造回流带动运营情况乐观,一般,一般报告,光大证券,"付天姿,董馨悦",2026Q4,8288000.0,,1102000.0,692900.0,,,,,,买入,,
688981.SH,中芯国际,20260520,中芯国际2026年一季度业绩点评：1Q业绩和2Q指引超预期，AI需求和制造回流带动运营情况乐观,一般,一般报告,光大证券,"付天姿,董馨悦",2027Q4,9651900.0,,1421400.0,864500.0,,,,,,买入,,
688981.SH,中芯国际,20260520,中芯国际2026年一季度业绩点评：1Q业绩和2Q指引超预期，AI需求和制造回流带动运营情况乐观,一般,一般报告,光大证券,"付天姿,董馨悦",2028Q4,11552800.0,,1772400.0,1076500.0,,,,,,买入,,
688981.SH,中芯国际,20260519,中芯国际：1Q26确认AI虹吸效应，2Q26指引环比双位数确认景气向上,点评,一般报告,中金,"张怡康,彭虎,贾顺鹤",,,,,,,,,,,跑赢行业,,150.0
688981.SH,中芯国际,20260519,中芯国际：AI需求带动运营情况持续向好,点评,一般报告,东方证券,"蒯剑,薛宏伟,李晋杰",2026Q4,7859200.0,,1163700.0,688800.0,0.86,138.2,,4.5,22.7,买入,,159.62
688981.SH,中芯国际,20260519,中芯国际：AI需求带动运营情况持续向好,点评,一般报告,东方证券,"蒯剑,薛宏伟,李晋杰",2027Q4,9146300.0,,1340800.0,812100.0,1.01,117.2,,5.0,19.8,买入,,159.62
688981.SH,中芯国际,20260519,中芯国际：AI需求带动运营情况持续向好,点评,一般报告,东方证券,"蒯剑,薛宏伟,李晋杰",2028Q4,10241800.0,,1458400.0,921800.0,1.15,103.3,,5.4,17.3,买入,,159.62
